kind,task,machine_selectable,module_selectable,process_time
0,0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 11)","(0, 4, 5)","(44, 13, 50)"
0,1,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 11)","(0, 2, 4, 7)","(50, 78, 23, 15)"
0,2,"(0, 1, 2, 3, 4, 6, 7, 8, 10)","(3, 4, 6, 8)","(18, 43, 81, 59)"
0,3,"(0, 3, 6, 11)","(0,)","(49,)"
1,0,"(1, 2, 4, 6, 7, 8, 9)","(4, 7, 8)","(45, 76, 65)"
1,1,"(0, 1, 3)","(1, 6)","(14, 14)"
1,2,"(0, 1, 2, 3, 4, 6, 8, 9, 11)","(0, 1, 2, 7)","(10, 62, 56, 24)"
1,3,"(0, 1, 3, 6, 7, 11)","(0, 6, 8)","(96, 67, 11)"
2,0,"(0, 3, 6, 11)","(0,)","(35,)"
2,1,"(0, 3, 4, 6, 7, 9, 11)","(0, 7, 8)","(74, 95, 74)"
2,2,"(0, 1, 2, 3, 5, 6, 8, 9, 11)","(0, 1, 2, 5)","(98, 26, 72, 93)"
2,3,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","(2, 4, 5)","(54, 26, 18)"
3,0,"(0, 2, 3, 7, 8, 9)","(2, 8)","(22, 50)"
3,1,"(0, 1, 3, 6, 11)","(0, 1, 6)","(97, 66, 71)"
3,2,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10)","(2, 3, 4, 7)","(51, 56, 68, 62)"
3,3,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11)","(0, 4, 5, 7)","(14, 63, 72, 24)"
4,0,"(0, 1, 2, 3, 4, 5, 6, 9, 11)","(0, 1, 5, 7)","(37, 33, 51, 83)"
4,1,"(0, 2, 3, 8, 9)","(2,)","(85,)"
4,2,"(7,)","(8,)","(94,)"
4,3,"(0, 1, 2, 3, 4, 6, 7, 8, 11)","(0, 4)","(58, 27)"
5,0,"(0, 1, 2, 3, 6, 10, 11)","(0, 1, 3, 6)","(44, 61, 99, 64)"
5,1,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 11)","(0, 1, 2, 4)","(94, 82, 14, 99)"
5,2,"(1, 2, 3, 4, 5, 6, 9)","(5, 7)","(19, 45)"
5,3,"(0, 2, 3, 6, 8, 9, 11)","(0, 2)","(26, 83)"
6,0,"(1, 2, 3, 4, 5, 6, 9, 10)","(3, 5, 7)","(14, 34, 62)"
6,1,"(0, 1, 2, 3, 4, 5, 6, 7, 8)","(4, 5, 6, 8)","(93, 23, 40, 71)"
6,2,"(4, 6, 9)","(7,)","(19,)"
6,3,"(1, 2, 3, 5, 6, 10)","(3, 5)","(95, 74)"
7,0,"(1, 2, 3, 4, 5, 6, 7, 8)","(4, 5, 8)","(35, 12, 31)"
7,1,"(1, 2, 3, 5)","(5,)","(33,)"
7,2,"(0, 1, 2, 3, 4, 6, 7, 8, 10, 11)","(0, 3, 4, 6)","(83, 60, 74, 49)"
7,3,"(1, 2, 3, 5)","(5,)","(83,)"
