kind,task,machine_selectable,module_selectable,process_time
0,0,"(0, 1, 2)","(0, 1)","(83, 48)"
0,1,"(2, 3)","(3, 4)","(73, 51)"
0,2,"(0, 2)","(2, 3)","(22, 35)"
1,0,"(0, 2)","(2,)","(35,)"
1,1,"(1, 2)","(0, 3)","(84, 12)"
1,2,"(0, 2)","(2, 3)","(16, 65)"
2,0,"(0, 1, 2)","(0, 1)","(60, 59)"
2,1,"(0, 1, 2)","(0, 1, 3)","(50, 81, 31)"
2,2,"(2,)","(3,)","(13,)"
3,0,"(1, 2)","(0, 3)","(35, 69)"
3,1,"(2,)","(3,)","(21,)"
3,2,"(3,)","(4,)","(27,)"
4,0,"(3,)","(4,)","(11,)"
4,1,"(0, 1, 2)","(1, 3)","(51, 91)"
4,2,"(0, 1, 2, 3)","(0, 1, 4)","(36, 59, 25)"
5,0,"(0, 1, 2, 3)","(1, 4)","(73, 100)"
5,1,"(1,)","(0,)","(65,)"
5,2,"(0, 1, 2)","(1, 3)","(76, 15)"
