kind,task,machine_selectable,module_selectable,process_time
0,0,"(4, 5)","(4,)","(19,)"
0,1,"(0, 3, 6)","(2, 3, 8, 9)","(53, 18, 60, 46)"
0,2,"(0, 2, 3, 6, 7)","(5, 7, 8, 9)","(43, 77, 39, 28)"
1,0,"(4,)","(1,)","(28,)"
1,1,"(2, 3, 4, 5)","(2, 4, 7)","(31, 20, 68)"
1,2,"(0, 2, 3, 4, 7)","(1, 5, 6)","(37, 99, 55)"
2,0,"(0, 6)","(9,)","(54,)"
2,1,"(0, 2, 4, 5, 6)","(4, 7, 9)","(66, 26, 72)"
2,2,"(0, 1)","(0, 8)","(78, 24)"
3,0,"(0, 3, 7)","(2, 5)","(53, 30)"
3,1,"(3, 6)","(2, 3)","(53, 57)"
3,2,"(0, 6)","(3, 8, 9)","(56, 75, 38)"
4,0,"(2, 4, 5)","(1, 4, 6, 7)","(44, 32, 14, 90)"
4,1,"(0, 2, 3)","(2, 7, 8)","(92, 70, 78)"
4,2,"(0, 4, 5, 6)","(1, 3, 4, 8)","(25, 36, 28, 80)"
5,0,"(0, 3, 6, 7)","(2, 3, 5, 9)","(19, 37, 34, 64)"
5,1,"(0, 1, 2, 4, 5)","(0, 4, 7, 8)","(88, 41, 10, 12)"
5,2,"(0, 1, 2, 6)","(0, 3, 7)","(45, 89, 65)"
