kind,task,machine_selectable,module_selectable,process_time
0,0,"(0, 2, 3, 4)","(3, 4)","(91, 27)"
0,1,"(4,)","(2,)","(96,)"
0,2,"(0, 2, 4)","(4,)","(44,)"
1,0,"(0, 2, 3, 4, 5, 6)","(3, 4, 5)","(78, 68, 41)"
1,1,"(0, 4, 5, 6)","(1, 2, 5)","(43, 45, 91)"
1,2,"(3, 4)","(2, 3)","(66, 33)"
2,0,"(0, 5, 6)","(5,)","(37,)"
2,1,"(1, 4, 6, 7)","(0, 1)","(40, 79)"
2,2,"(0, 2, 3, 4)","(3, 4)","(86, 28)"
3,0,"(0, 1, 2, 4, 5, 6, 7)","(0, 4, 5)","(37, 18, 42)"
3,1,"(1, 6, 7)","(0,)","(48,)"
3,2,"(1, 4, 6, 7)","(0, 1)","(50, 91)"
4,0,"(0, 4, 5, 6)","(2, 5)","(16, 61)"
4,1,"(4,)","(1,)","(53,)"
4,2,"(0, 2, 3, 4)","(2, 3, 4)","(17, 81, 33)"
5,0,"(0, 2, 4)","(1, 4)","(75, 62)"
5,1,"(4,)","(2,)","(21,)"
5,2,"(1, 4, 6, 7)","(0, 1)","(91, 75)"
