kind,task,machine_selectable,module_selectable,process_time
0,0,"(0, 1, 3, 4, 5, 6, 8, 9, 10)","(0, 4, 6, 8)","(93, 17, 53, 14)"
0,1,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10)","(2, 3, 4, 8)","(62, 50, 76, 88)"
0,2,"(0, 2, 4, 8, 9)","(3, 5)","(60, 95)"
1,0,"(1, 6, 10)","(4,)","(65,)"
1,1,"(0, 1, 3, 5, 6, 8, 9)","(6, 8)","(59, 45)"
1,2,"(0, 1, 2, 4, 5, 6, 8, 9)","(0, 3, 5)","(53, 99, 52)"
2,0,"(4, 7, 10)","(2,)","(54,)"
2,1,"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11)","(0, 2, 6, 7)","(86, 13, 17, 81)"
2,2,"(4, 7, 8, 9, 10)","(2, 5)","(77, 88)"
3,0,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10)","(0, 2, 3, 5)","(94, 31, 89, 18)"
3,1,"(0, 3, 4, 6, 7, 11)","(1, 7)","(55, 37)"
3,2,"(0, 2, 9)","(3,)","(42,)"
4,0,"(1, 4, 5, 6, 8, 9, 10)","(0, 4, 5)","(59, 55, 27)"
4,1,"(0, 1, 2, 4, 6, 7, 8, 9, 10)","(2, 3, 4, 5)","(17, 90, 49, 73)"
4,2,"(0, 3, 8, 9, 11)","(6, 7)","(53, 13)"
5,0,"(0, 1, 3, 4, 6, 7, 10, 11)","(1, 4, 7)","(70, 33, 33)"
5,1,"(0, 4, 7, 8, 9, 10)","(2, 5, 6)","(56, 95, 28)"
5,2,"(0, 3, 4, 7, 8, 9, 10, 11)","(2, 6, 7)","(31, 67, 79)"
