kind,task,machine_selectable,module_selectable,process_time
0,0,"(0,)","(2,)","(66,)"
0,1,"(0, 1, 2, 3)","(0, 1, 2)","(29, 78, 77)"
0,2,"(0, 1, 3)","(1, 2)","(100, 77)"
1,0,"(1, 2, 3)","(0,)","(16,)"
1,1,"(1, 2, 3)","(0, 1)","(71, 10)"
1,2,"(1, 2, 3)","(0,)","(46,)"
2,0,"(0, 1, 2, 3)","(0, 1, 2)","(35, 90, 32)"
2,1,"(1, 2, 3)","(0,)","(67,)"
2,2,"(1, 2, 3)","(0,)","(58,)"
3,0,"(0, 1, 3)","(1, 2)","(14, 30)"
3,1,"(0,)","(2,)","(97,)"
3,2,"(1, 3)","(1,)","(11,)"
4,0,"(0, 1, 3)","(1, 2)","(86, 90)"
4,1,"(1, 3)","(1,)","(97,)"
4,2,"(0,)","(2,)","(18,)"
5,0,"(1, 3)","(1,)","(34,)"
5,1,"(0, 1, 3)","(1, 2)","(96, 74)"
5,2,"(1, 2, 3)","(0,)","(15,)"
