kind,task,machine_selectable,module_selectable,process_time
0,0,"(1, 3)","(1,)","(31,)"
0,1,"(1, 3)","(1,)","(45,)"
0,2,"(0, 1, 2, 3)","(1, 2)","(57, 15)"
0,3,"(1, 2)","(0,)","(88,)"
1,0,"(1, 2)","(0,)","(86,)"
1,1,"(1, 2)","(0,)","(79,)"
1,2,"(0, 2)","(2,)","(11,)"
1,3,"(1, 2, 3)","(0, 3)","(74, 19)"
2,0,"(3,)","(3,)","(68,)"
2,1,"(3,)","(3,)","(88,)"
2,2,"(1, 2, 3)","(0, 1)","(100, 70)"
2,3,"(1, 2, 3)","(0, 1)","(69, 41)"
3,0,"(1, 2, 3)","(0, 1)","(91, 73)"
3,1,"(0, 1, 2, 3)","(0, 2, 3)","(46, 25, 33)"
3,2,"(0, 2)","(2,)","(84,)"
3,3,"(0, 2)","(2,)","(12,)"
4,0,"(1, 2, 3)","(0, 1, 3)","(93, 80, 81)"
4,1,"(0, 2)","(2,)","(22,)"
4,2,"(1, 2, 3)","(0, 3)","(57, 99)"
4,3,"(0, 2)","(2,)","(41,)"
5,0,"(0, 2)","(2,)","(18,)"
5,1,"(3,)","(3,)","(90,)"
5,2,"(0, 1, 2, 3)","(1, 2, 3)","(88, 38, 14)"
5,3,"(1, 2)","(0,)","(88,)"
6,0,"(0, 2, 3)","(2, 3)","(36, 70)"
6,1,"(3,)","(3,)","(83,)"
6,2,"(0, 2)","(2,)","(31,)"
6,3,"(1, 2, 3)","(0, 3)","(61, 75)"
7,0,"(1, 3)","(1, 3)","(82, 21)"
7,1,"(1, 2)","(0,)","(46,)"
7,2,"(1, 3)","(1,)","(94,)"
7,3,"(0, 1, 2, 3)","(0, 1, 2)","(87, 66, 91)"
