module,time_add_fuzzy,time_rem_fuzzy,cost_add,cost_rem
0,"(10, 40, 55)","(49, 76, 88)",41,42
1,"(18, 46, 73)","(25, 51, 78)",46,11
2,"(37, 54, 69)","(13, 41, 62)",40,37
3,"(35, 64, 92)","(50, 73, 85)",22,47
4,"(41, 52, 71)","(18, 44, 70)",22,22
5,"(34, 59, 77)","(37, 67, 82)",13,16
6,"(30, 59, 70)","(12, 39, 61)",45,35
7,"(43, 59, 84)","(50, 73, 99)",14,14
8,"(30, 51, 65)","(12, 24, 36)",42,31
9,"(26, 43, 59)","(26, 44, 58)",30,45
10,"(36, 59, 87)","(16, 41, 64)",48,46
11,"(12, 22, 43)","(36, 60, 90)",18,45
