kind,task,machine_selectable,module_selectable,process_time
0,0,"(0, 2, 3, 4, 6, 8, 10)","(2, 3, 7, 9)","(42, 26, 89, 92)"
0,1,"(0, 4, 10)","(6,)","(42,)"
0,2,"(1, 2, 4, 6, 9)","(1, 2)","(91, 13)"
1,0,"(0, 4, 7, 8, 10)","(0, 5, 10)","(17, 15, 50)"
1,1,"(2, 3, 4, 6, 7, 8)","(2, 5, 7, 10)","(28, 41, 56, 62)"
1,2,"(2, 4, 5, 6, 8, 9, 11)","(4, 11)","(37, 54)"
2,0,"(0, 2, 3, 4, 6, 7, 8, 9, 10, 11)","(0, 7, 10, 11)","(77, 40, 77, 38)"
2,1,"(4, 7)","(10,)","(77,)"
2,2,"(0, 3, 10)","(3, 9)","(92, 97)"
3,0,"(0, 2, 3, 4, 5, 6, 8, 9, 10, 11)","(0, 3, 4, 11)","(81, 64, 40, 99)"
3,1,"(0, 4, 10)","(6,)","(47,)"
3,2,"(0, 4, 7, 8, 10)","(0, 6, 8, 10)","(88, 17, 38, 77)"
4,0,"(1, 2, 4, 6, 9)","(1, 2)","(28, 96)"
4,1,"(7, 8, 10)","(8, 9)","(47, 22)"
4,2,"(2, 4, 6, 7)","(2, 5)","(28, 100)"
5,0,"(0, 4, 7, 10)","(6, 10)","(95, 11)"
5,1,"(1, 2, 4, 5, 6, 7, 8, 9, 11)","(1, 4, 10, 11)","(76, 27, 69, 67)"
5,2,"(2, 3, 6, 8)","(7,)","(58,)"
