kind,task,machine_selectable,module_selectable,process_time
0,0,"(4, 5, 6)","(5,)","(62,)"
0,1,"(1, 2, 3, 4, 5, 6, 7)","(1, 3, 4, 5)","(52, 78, 90, 43)"
0,2,"(1, 3, 4, 5, 6, 7)","(0, 1, 2)","(89, 75, 59)"
0,3,"(1, 3, 4, 5)","(0,)","(10,)"
1,0,"(1, 2, 3)","(4,)","(50,)"
1,1,"(1, 5, 6, 7)","(1, 2, 6)","(79, 42, 33)"
1,2,"(5, 6)","(2,)","(100,)"
1,3,"(2, 6)","(3,)","(53,)"
2,0,"(2, 6)","(3,)","(35,)"
2,1,"(0, 1, 2, 3, 4, 5, 6, 7)","(3, 4, 5, 7)","(48, 31, 100, 73)"
2,2,"(1, 7)","(1,)","(100,)"
2,3,"(0, 1, 5, 6, 7)","(2, 7)","(42, 44)"
3,0,"(1, 2, 3, 4, 5, 6)","(0, 3, 4)","(49, 99, 16)"
3,1,"(4, 5, 6)","(2, 5)","(21, 47)"
3,2,"(1, 2, 3, 4, 5, 6)","(0, 2, 3, 6)","(64, 27, 95, 83)"
3,3,"(0, 1, 5, 6, 7)","(1, 6, 7)","(90, 84, 40)"
4,0,"(0, 1, 5, 6, 7)","(2, 7)","(43, 91)"
4,1,"(0, 1, 5, 6, 7)","(2, 7)","(22, 35)"
4,2,"(1, 2, 3, 4, 5, 6, 7)","(0, 1, 2, 3)","(54, 33, 33, 31)"
4,3,"(0, 1, 3, 4, 5, 6, 7)","(0, 5, 7)","(42, 92, 82)"
5,0,"(1, 2, 3, 4, 5, 6)","(0, 3)","(17, 95)"
5,1,"(1, 2, 3, 6)","(3, 4)","(33, 14)"
5,2,"(1, 3, 4, 5, 6, 7)","(0, 1, 6)","(44, 100, 38)"
5,3,"(0, 1, 7)","(7,)","(76,)"
6,0,"(1, 2, 3)","(4,)","(62,)"
6,1,"(1, 2, 3, 4, 5, 6, 7)","(1, 2, 4, 5)","(25, 72, 87, 42)"
6,2,"(1, 2, 3, 4, 5, 6, 7)","(0, 1, 3, 5)","(69, 96, 24, 92)"
6,3,"(1, 2, 3, 4, 5, 6)","(0, 2, 4, 5)","(94, 54, 84, 93)"
7,0,"(0, 1, 2, 3, 6, 7)","(3, 4, 7)","(84, 98, 15)"
7,1,"(1, 3, 4, 5)","(0,)","(79,)"
7,2,"(1, 2, 3, 6)","(3, 4)","(70, 58)"
7,3,"(0, 1, 2, 6, 7)","(1, 3, 7)","(50, 77, 62)"
