kind,task,machine_selectable,module_selectable,process_time
0,0,"(0, 1, 2, 3)","(0, 1)","(14, 41)"
0,1,"(0, 1, 2, 3)","(0, 1, 2)","(63, 30, 91)"
0,2,"(0, 1, 2, 3)","(0, 1)","(98, 53)"
0,3,"(0, 1, 2, 3)","(0, 2)","(85, 88)"
1,0,"(0, 2, 3)","(1,)","(73,)"
1,1,"(0, 2, 3)","(1,)","(52,)"
1,2,"(1,)","(0,)","(66,)"
1,3,"(1,)","(0,)","(14,)"
2,0,"(0, 1, 2, 3)","(0, 1)","(58, 17)"
2,1,"(0, 1, 2, 3)","(0, 2)","(64, 62)"
2,2,"(0, 1, 2, 3)","(0, 1, 2)","(96, 68, 42)"
2,3,"(0, 1, 2, 3)","(0, 2)","(26, 94)"
3,0,"(0, 2, 3)","(1,)","(93,)"
3,1,"(0, 2, 3)","(1, 2)","(90, 29)"
3,2,"(0, 2, 3)","(2,)","(60,)"
3,3,"(0, 2, 3)","(1, 2)","(53, 61)"
4,0,"(0, 1, 2, 3)","(0, 2)","(28, 23)"
4,1,"(0, 2, 3)","(1,)","(28,)"
4,2,"(0, 1, 2, 3)","(0, 1, 2)","(54, 47, 68)"
4,3,"(0, 2, 3)","(2,)","(69,)"
5,0,"(0, 2, 3)","(2,)","(31,)"
5,1,"(0, 1, 2, 3)","(0, 2)","(52, 42)"
5,2,"(0, 1, 2, 3)","(0, 2)","(14, 84)"
5,3,"(0, 1, 2, 3)","(0, 1)","(28, 60)"
6,0,"(0, 1, 2, 3)","(0, 1)","(76, 18)"
6,1,"(0, 1, 2, 3)","(0, 1, 2)","(69, 74, 72)"
6,2,"(0, 1, 2, 3)","(0, 1)","(69, 54)"
6,3,"(0, 2, 3)","(2,)","(16,)"
7,0,"(0, 2, 3)","(2,)","(53,)"
7,1,"(0, 2, 3)","(1, 2)","(24, 91)"
7,2,"(0, 1, 2, 3)","(0, 1)","(70, 97)"
7,3,"(1,)","(0,)","(16,)"
