module,time_add_fuzzy,time_rem_fuzzy,cost_add,cost_rem
0,"(17, 27, 57)","(26, 46, 57)",14,12
1,"(45, 61, 73)","(39, 49, 70)",49,19
2,"(49, 59, 76)","(37, 58, 69)",43,38
3,"(45, 60, 75)","(31, 59, 78)",43,48
4,"(49, 63, 80)","(10, 27, 56)",21,37
5,"(23, 39, 64)","(26, 40, 60)",28,19
6,"(50, 69, 90)","(33, 52, 69)",16,15
7,"(16, 39, 63)","(32, 43, 63)",15,35
8,"(36, 49, 74)","(14, 31, 55)",14,21
9,"(15, 38, 57)","(41, 60, 72)",47,38
10,"(34, 49, 67)","(25, 50, 69)",23,10
11,"(19, 38, 64)","(25, 37, 55)",29,32
12,"(48, 70, 85)","(46, 58, 88)",20,19
13,"(20, 44, 62)","(41, 52, 81)",12,37
14,"(14, 25, 50)","(30, 44, 59)",20,31
