kind,task,machine_selectable,module_selectable,process_time
0,0,"(0, 2, 3, 4, 6, 8, 9, 11)","(2, 3, 14)","(53, 89, 43)"
0,1,"(1, 5, 6, 9)","(0, 9, 12)","(46, 59, 73)"
0,2,"(0, 2, 3, 5, 6, 9, 11)","(0, 2, 4, 6)","(17, 94, 28, 13)"
1,0,"(0, 2, 5, 6, 9)","(0, 4, 8, 9)","(65, 53, 94, 66)"
1,1,"(0, 3, 6, 7, 8, 9, 10, 11)","(2, 7, 10, 11)","(65, 43, 13, 77)"
1,2,"(2, 5, 10)","(0, 3, 7)","(78, 18, 44)"
2,0,"(4, 7, 8, 9)","(5, 11)","(31, 27)"
2,1,"(4, 9)","(5,)","(29,)"
2,2,"(0, 5, 7, 10)","(8, 13)","(52, 34)"
3,0,"(4, 6, 7, 8, 9, 10)","(5, 9, 13, 14)","(61, 86, 40, 35)"
3,1,"(1, 3, 6, 9)","(6, 9, 12)","(84, 32, 25)"
3,2,"(3, 6, 9)","(6, 9)","(14, 72)"
4,0,"(4, 9)","(5,)","(28,)"
4,1,"(1, 3, 5, 6, 9, 10)","(0, 9, 10, 12)","(100, 27, 35, 13)"
4,2,"(3, 4, 7, 9, 10)","(5, 6, 13)","(24, 54, 23)"
5,0,"(0, 2, 4, 5, 9)","(4, 5)","(31, 90)"
5,1,"(0, 3, 5, 6, 8, 9, 10, 11)","(1, 2, 6, 10)","(84, 96, 10, 62)"
5,2,"(1, 2, 5, 10)","(0, 3, 7, 12)","(33, 82, 88, 48)"
