kind,task,machine_selectable,module_selectable,process_time
0,0,"(0, 2, 3, 4, 6, 7)","(3, 6)","(64, 48)"
0,1,"(0, 2, 3, 4, 5, 6)","(2, 4, 6)","(43, 64, 33)"
0,2,"(0, 2, 3, 5, 7)","(0, 1, 7)","(93, 41, 50)"
1,0,"(0, 2, 4, 5, 7)","(1, 2, 3)","(58, 39, 37)"
1,1,"(0, 2, 3, 4, 5, 6)","(1, 6)","(79, 39)"
1,2,"(4,)","(2,)","(100,)"
2,0,"(0, 2, 3, 4, 6, 7)","(2, 3, 6)","(42, 28, 21)"
2,1,"(0, 1, 2, 4, 5, 7)","(1, 3, 5)","(91, 71, 59)"
2,2,"(0, 2, 3, 4, 6)","(6,)","(18,)"
3,0,"(0, 2, 3, 4, 5, 6, 7)","(0, 1, 3, 6)","(94, 70, 21, 86)"
3,1,"(0, 1, 2, 3, 4, 5, 6, 7)","(3, 4, 5, 6)","(13, 92, 89, 61)"
3,2,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 5, 6)","(58, 25, 46)"
4,0,"(2, 3, 4, 5, 7)","(3, 4, 7)","(53, 48, 37)"
4,1,"(2, 7)","(3,)","(16,)"
4,2,"(3, 5, 7)","(7,)","(93,)"
5,0,"(0, 2, 3, 4, 5, 6)","(0, 6)","(79, 11)"
5,1,"(4,)","(2,)","(92,)"
5,2,"(3, 5, 7)","(7,)","(14,)"
