kind,task,machine_selectable,module_selectable,process_time
0,0,"(2, 3)","(3,)","(67,)"
0,1,"(3,)","(0,)","(21,)"
0,2,"(1, 2, 3)","(0, 4)","(77, 26)"
0,3,"(1,)","(1,)","(58,)"
1,0,"(0, 1, 2, 3)","(2, 4)","(22, 88)"
1,1,"(0, 1, 2, 3)","(1, 2)","(99, 68)"
1,2,"(2, 3)","(3,)","(95,)"
1,3,"(0, 2, 3)","(2, 3)","(99, 44)"
2,0,"(1, 2, 3)","(0, 4)","(58, 54)"
2,1,"(1, 2)","(4,)","(18,)"
2,2,"(0, 1, 2, 3)","(2, 4)","(99, 25)"
2,3,"(2, 3)","(3,)","(28,)"
3,0,"(1, 2)","(1, 4)","(72, 77)"
3,1,"(0, 1, 2, 3)","(1, 2, 3)","(99, 10, 90)"
3,2,"(2, 3)","(3,)","(15,)"
3,3,"(0, 1, 2, 3)","(2, 3, 4)","(91, 34, 100)"
4,0,"(2, 3)","(0, 3)","(50, 79)"
4,1,"(1, 3)","(0, 1)","(57, 16)"
4,2,"(3,)","(0,)","(21,)"
4,3,"(1, 2, 3)","(0, 4)","(13, 11)"
5,0,"(0, 1, 2, 3)","(1, 2, 3)","(73, 59, 73)"
5,1,"(3,)","(0,)","(12,)"
5,2,"(0, 1, 2, 3)","(0, 2, 4)","(45, 10, 55)"
5,3,"(0, 2, 3)","(2,)","(21,)"
6,0,"(1,)","(1,)","(53,)"
6,1,"(0, 2, 3)","(2,)","(56,)"
6,2,"(0, 1, 2, 3)","(1, 2, 4)","(87, 79, 52)"
6,3,"(1, 3)","(0, 1)","(72, 34)"
7,0,"(0, 1, 2, 3)","(2, 3, 4)","(15, 77, 54)"
7,1,"(0, 1, 2, 3)","(2, 4)","(94, 69)"
7,2,"(0, 2, 3)","(2,)","(41,)"
7,3,"(0, 1, 2, 3)","(1, 2)","(63, 77)"
