kind,task,machine_selectable,module_selectable,process_time
0,0,"(2,)","(1,)","(69,)"
0,1,"(2, 3, 4, 5, 6, 7)","(2, 4)","(75, 96)"
0,2,"(2, 3, 4, 5, 6, 7)","(0, 2, 6)","(18, 52, 63)"
0,3,"(0, 3, 6)","(4, 5)","(87, 62)"
1,0,"(1, 2, 3, 4, 5, 6, 7)","(2, 6, 7)","(79, 27, 80)"
1,1,"(1, 2, 3, 6, 7)","(0, 6, 7)","(20, 41, 59)"
1,2,"(0, 2, 3, 4, 5, 6, 7)","(2, 4, 5, 9)","(99, 28, 86, 55)"
1,3,"(3, 6, 7)","(6,)","(58,)"
2,0,"(2, 3, 4, 6, 7)","(1, 3, 4)","(83, 60, 87)"
2,1,"(0, 1, 2, 3, 4, 6, 7)","(0, 3, 7, 9)","(22, 59, 34, 85)"
2,2,"(0, 2, 4, 5, 7)","(2, 5, 9)","(89, 30, 90)"
2,3,"(0, 1, 3, 6, 7)","(6, 7, 9)","(27, 17, 92)"
3,0,"(2, 4, 5, 7)","(0, 2)","(22, 65)"
3,1,"(0, 1, 7)","(5, 7)","(100, 22)"
3,2,"(0, 1, 3, 5, 6, 7)","(4, 5, 7, 8)","(57, 75, 72, 50)"
3,3,"(1, 5, 7)","(7, 8)","(57, 84)"
4,0,"(1, 2, 5)","(1, 8)","(73, 45)"
4,1,"(0, 1, 2, 7)","(0, 5, 7, 9)","(82, 61, 80, 97)"
4,2,"(2,)","(1,)","(28,)"
4,3,"(1, 3, 5, 6, 7)","(6, 8)","(32, 12)"
5,0,"(3, 4, 6, 7)","(3, 4)","(18, 82)"
5,1,"(0, 1, 2, 3, 6, 7)","(0, 4, 7, 9)","(50, 97, 61, 11)"
5,2,"(3, 6)","(4,)","(53,)"
5,3,"(1, 3, 5, 6, 7)","(4, 7, 8)","(10, 77, 11)"
6,0,"(1, 2, 5)","(1, 8)","(89, 59)"
6,1,"(3, 4, 6, 7)","(3,)","(44,)"
6,2,"(2, 3, 6, 7)","(1, 6)","(90, 10)"
6,3,"(0, 2)","(1, 5)","(93, 11)"
7,0,"(1, 2, 3, 4, 5, 6, 7)","(1, 3, 6, 8)","(65, 17, 80, 34)"
7,1,"(0, 1, 2, 7)","(1, 5, 7, 9)","(30, 68, 21, 67)"
7,2,"(1, 2, 4, 5, 7)","(2, 8)","(93, 21)"
7,3,"(2, 3, 6, 7)","(0, 1, 6)","(77, 76, 47)"
