kind,task,machine_selectable,module_selectable,process_time
0,0,"(0, 1, 3)","(0, 2, 3)","(13, 90, 59)"
0,1,"(0, 1, 2, 3)","(1, 2, 3)","(77, 33, 56)"
0,2,"(1, 3)","(0, 3)","(38, 34)"
1,0,"(0, 1, 2, 3)","(1, 3)","(76, 68)"
1,1,"(0, 1, 2, 3)","(0, 1, 3)","(23, 15, 71)"
1,2,"(0, 2, 3)","(1,)","(70,)"
2,0,"(3,)","(0,)","(69,)"
2,1,"(3,)","(0,)","(44,)"
2,2,"(0, 1, 3)","(0, 2)","(90, 13)"
3,0,"(0, 1, 2, 3)","(0, 1, 2)","(80, 92, 16)"
3,1,"(0, 2, 3)","(1,)","(81,)"
3,2,"(1,)","(3,)","(41,)"
4,0,"(0, 2, 3)","(1,)","(93,)"
4,1,"(0, 1)","(2,)","(36,)"
4,2,"(0, 2, 3)","(1,)","(87,)"
5,0,"(0, 2, 3)","(1,)","(91,)"
5,1,"(0, 1, 3)","(0, 2, 3)","(43, 20, 50)"
5,2,"(0, 1, 2, 3)","(1, 3)","(96, 90)"
