module,time_add_fuzzy,time_rem_fuzzy,cost_add,cost_rem
0,"(49, 77, 103)","(47, 71, 98)",41,48
1,"(11, 23, 36)","(10, 32, 56)",26,30
2,"(23, 40, 58)","(50, 66, 81)",16,42
3,"(39, 69, 97)","(21, 35, 51)",33,38
4,"(39, 55, 67)","(20, 42, 53)",16,24
5,"(36, 54, 64)","(27, 38, 67)",41,17
6,"(11, 28, 52)","(27, 54, 72)",36,20
7,"(24, 54, 83)","(31, 43, 69)",14,32
8,"(17, 31, 51)","(13, 26, 54)",14,50
9,"(17, 40, 53)","(44, 60, 74)",28,27
10,"(21, 41, 63)","(32, 61, 76)",17,37
11,"(20, 45, 64)","(10, 40, 58)",34,36
12,"(12, 30, 56)","(33, 50, 71)",24,33
13,"(48, 75, 89)","(44, 70, 91)",42,40
14,"(15, 43, 66)","(48, 61, 90)",35,12
