kind,task,machine_selectable,module_selectable,process_time
0,0,"(2, 7)","(12,)","(87,)"
0,1,"(2, 3, 6, 10)","(2, 6, 14)","(60, 14, 87)"
0,2,"(2, 3, 4, 5, 6, 7, 10)","(6, 8, 11, 14)","(31, 54, 71, 94)"
0,3,"(1, 2, 4, 5, 7, 11)","(0, 1, 9, 12)","(34, 52, 94, 77)"
1,0,"(1, 2, 4, 5, 6, 9, 10, 11)","(0, 4, 6, 13)","(72, 31, 30, 12)"
1,1,"(1, 2, 3, 5, 7)","(5, 9, 11, 13)","(86, 95, 50, 28)"
1,2,"(2, 3, 6, 10)","(6, 14)","(20, 94)"
1,3,"(0, 1, 2, 3, 5, 7, 9)","(4, 10)","(75, 86)"
2,0,"(2, 3, 5, 8, 10)","(3, 9, 14)","(73, 51, 10)"
2,1,"(1,)","(5,)","(71,)"
2,2,"(1, 4, 5, 6)","(1, 2, 9)","(21, 15, 63)"
2,3,"(4, 5, 10, 11)","(0, 8, 9)","(51, 44, 77)"
3,0,"(1, 2, 5, 6, 8, 9)","(2, 3, 4, 13)","(27, 100, 22, 30)"
3,1,"(1, 4, 5, 8, 10, 11)","(0, 1, 3, 8)","(23, 96, 19, 14)"
3,2,"(3, 7)","(11,)","(88,)"
3,3,"(1, 4, 5, 9, 10)","(4, 5, 8)","(90, 95, 17)"
4,0,"(3, 5, 6, 7)","(2, 9, 11)","(54, 57, 80)"
4,1,"(1, 2)","(13,)","(11,)"
4,2,"(4, 6, 11)","(0, 2)","(44, 98)"
4,3,"(3, 6, 7)","(2, 11)","(74, 27)"
5,0,"(0, 2, 3, 7)","(10,)","(95,)"
5,1,"(3, 4, 5, 7, 10)","(8, 11)","(18, 47)"
5,2,"(1,)","(5,)","(72,)"
5,3,"(1, 4, 5, 8, 9, 10)","(3, 4, 8, 9)","(50, 69, 59, 80)"
6,0,"(1, 5, 8, 9)","(3, 4)","(20, 62)"
6,1,"(1, 2, 4, 5, 6, 10)","(1, 6, 8, 13)","(100, 85, 36, 11)"
6,2,"(4, 5, 7, 9, 10)","(7, 9)","(89, 49)"
6,3,"(0, 2, 3, 4, 5, 7, 9, 10)","(7, 9, 10, 11)","(19, 98, 62, 45)"
7,0,"(2, 3, 4, 5, 7, 8, 9, 10)","(3, 7, 14)","(35, 46, 98)"
7,1,"(3, 4, 6, 7, 10, 11)","(0, 6, 11)","(13, 77, 86)"
7,2,"(3, 7)","(11,)","(78,)"
7,3,"(1, 5, 6, 8, 9, 10)","(3, 4, 6)","(41, 40, 14)"
