module,time_add_fuzzy,time_rem_fuzzy,cost_add,cost_rem
0,"(50, 74, 92)","(16, 35, 65)",39,10
1,"(48, 64, 80)","(17, 41, 56)",22,23
2,"(28, 42, 71)","(14, 37, 51)",28,10
3,"(26, 39, 55)","(50, 79, 105)",33,34
4,"(23, 40, 59)","(50, 62, 76)",16,15
5,"(36, 52, 75)","(11, 28, 46)",27,13
6,"(14, 24, 37)","(34, 59, 72)",47,26
7,"(16, 36, 58)","(34, 44, 55)",32,40
8,"(14, 27, 57)","(38, 68, 80)",26,26
9,"(30, 54, 69)","(38, 61, 73)",50,38
10,"(42, 58, 76)","(39, 64, 80)",46,44
11,"(41, 71, 85)","(11, 36, 50)",34,13
