kind,task,machine_selectable,module_selectable,process_time
0,0,"(3, 5, 9, 10)","(2,)","(13,)"
0,1,"(1, 2, 4, 5, 7, 8, 9, 10)","(3, 4, 5, 6)","(51, 25, 92, 69)"
0,2,"(9, 10)","(10,)","(91,)"
0,3,"(0, 6, 7, 8, 9, 10)","(6, 9, 10)","(77, 25, 32)"
1,0,"(2, 3, 4, 5, 6, 7, 10, 11)","(0, 1, 3, 8)","(88, 13, 79, 76)"
1,1,"(7,)","(6,)","(27,)"
1,2,"(3, 5, 9, 10)","(2,)","(23,)"
1,3,"(7,)","(6,)","(51,)"
2,0,"(2, 3, 4, 5, 6, 7, 8, 9)","(0, 4, 6, 7)","(53, 77, 32, 36)"
2,1,"(1, 3, 4, 5, 7, 8, 9, 10)","(2, 3, 5, 6)","(52, 65, 28, 51)"
2,2,"(2, 3, 4, 5, 6, 9, 10)","(0, 1, 7, 10)","(14, 46, 27, 22)"
2,3,"(2, 3, 5, 8, 9, 10)","(2, 4, 10)","(85, 57, 37)"
3,0,"(0, 3, 6, 8, 9, 10)","(1, 9)","(78, 68)"
3,1,"(1, 3, 4, 5, 6, 7, 8, 9, 10)","(1, 2, 3, 5)","(85, 39, 11, 11)"
3,2,"(1, 4, 7, 8, 10)","(5, 6)","(38, 50)"
3,3,"(7,)","(11,)","(46,)"
4,0,"(2, 4, 5, 7, 11)","(3, 6, 8)","(86, 59, 61)"
4,1,"(0, 2, 3, 4, 5, 6, 7, 8, 9)","(0, 6, 7, 9)","(98, 20, 15, 14)"
4,2,"(2, 3, 5, 7, 8, 9, 10)","(2, 4, 11)","(18, 78, 38)"
4,3,"(2, 5, 7, 8, 9, 10, 11)","(4, 8, 10)","(40, 19, 44)"
5,0,"(4, 5, 7, 9, 10)","(3, 10)","(25, 27)"
5,1,"(0, 1, 4, 6, 7, 8, 9, 10)","(5, 9, 11)","(86, 33, 85)"
5,2,"(2, 5, 6, 8, 9)","(0, 4)","(13, 96)"
5,3,"(1, 2, 4, 5, 6, 8, 9, 10)","(0, 5, 10)","(26, 15, 98)"
6,0,"(3, 4, 5, 6, 7, 9, 10)","(1, 3, 6, 10)","(69, 63, 17, 77)"
6,1,"(1, 2, 3, 4, 5, 7, 8, 9, 10, 11)","(2, 5, 8, 10)","(21, 48, 44, 67)"
6,2,"(9, 10)","(10,)","(93,)"
6,3,"(0, 2, 3, 4, 5, 6, 8, 9)","(0, 7, 9)","(89, 79, 82)"
7,0,"(0, 2, 3, 5, 6, 8, 9, 10)","(2, 4, 9, 10)","(20, 29, 54, 76)"
7,1,"(2, 8, 9)","(4,)","(14,)"
7,2,"(2, 3, 4, 5, 6, 7, 9, 10)","(0, 1, 3, 10)","(29, 79, 31, 79)"
7,3,"(0, 6, 7, 8, 9, 10)","(9, 10, 11)","(88, 24, 53)"
