module,time_add_fuzzy,time_rem_fuzzy,cost_add,cost_rem
0,"(43, 69, 83)","(19, 41, 62)",25,39
1,"(38, 53, 82)","(40, 53, 80)",43,26
2,"(39, 64, 85)","(34, 44, 72)",28,16
3,"(40, 56, 84)","(40, 56, 80)",50,41
4,"(25, 42, 70)","(15, 31, 51)",11,17
5,"(21, 49, 77)","(49, 62, 92)",39,15
6,"(35, 59, 79)","(28, 51, 74)",34,15
7,"(35, 56, 83)","(31, 57, 79)",37,50
8,"(44, 74, 93)","(22, 43, 63)",21,38
9,"(25, 40, 70)","(37, 66, 95)",16,35
10,"(30, 50, 79)","(37, 58, 70)",15,47
11,"(34, 60, 76)","(21, 38, 54)",16,38
